Ref_Date,GEO,SECTORS,STATEMENT,Vector,Coordinate,Value
1993/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,25435.0
1993/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,29580.0
1993/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,31348.0
1994/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,27009.0
1994/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,28634.0
1994/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,32491.0
1994/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,33386.0
1995/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,29421.0
1995/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,31132.0
1995/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,34604.0
1995/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,35295.0
1996/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,31760.0
1996/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,34115.0
1996/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,37765.0
1996/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,39205.0
1997/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,33992.0
1997/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,38172.0
1997/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,40423.0
1997/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,43607.0
1998/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,36826.0
1998/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,41071.0
1998/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,40839.0
1998/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,44012.0
1999/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,38735.0
1999/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,43462.0
1999/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,46375.0
1999/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,48732.0
2000/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,44709.0
2000/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,49825.0
2000/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,50429.0
2000/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,51192.0
2001/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,44254.0
2001/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,49837.0
2001/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,46276.0
2001/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,46591.0
2002/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,40121.0
2002/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,43931.0
2002/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,45994.0
2002/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,48913.0
2003/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,44221.0
2003/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,42687.0
2003/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,47773.0
2003/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,50358.0
2004/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,48028.0
2004/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,47909.0
2004/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,52511.0
2004/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,53976.0
2005/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,52373.0
2005/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,52311.0
2005/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,55665.0
2005/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,59012.0
2006/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,55897.0
2006/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,56376.0
2006/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,60488.0
2006/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,65745.0
2007/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,61182.0
2007/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,63698.0
2007/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,63023.0
2007/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,64841.0
2008/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,62069.0
2008/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,61384.0
2008/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,65110.0
2008/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,65035.0
2009/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,57185.0
2009/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,53702.0
2009/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,58776.0
2009/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,68069.0
2010/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,62487.0
2010/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,54318.0
2010/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,58747.0
2010/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,65710.0
2011/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,59637.0
2011/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,60689.0
2011/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,66454.0
