specimen,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,ES17,ES18,ES19,ES20
680 NCA30 16.tif,0.036482029,0.024574227,0.096409103,0.056161281,0.021449149,0.059223107,0.030300474,0.026354982,0.050524463,-0.007128041,0.016857526,-0.007267384,0.007546965,0.024702673,-0.013351027,-0.002073692,-0.020314092,0.018824276,0.013878476,-0.033253627
682 NCA30 18.tif,0.019730739,0.097050376,0.015073168,-0.019036801,0.017846605,-0.040344771,0.019479265,-0.003698175,-0.003134896,-0.000611585,-0.012749964,0.017564841,-0.021172013,-0.012771639,-0.027132815,-0.026473178,0.049924512,0.013263955,0.025463363,0.040511518
683 NCA30 19.tif,0.030433363,0.198398906,0.057962748,0.026316903,-0.002948168,-0.012482787,-0.00830917,0.069514375,-0.014139026,0.033995203,-0.017687351,-0.012949544,-0.005462245,-0.029621084,-0.00331863,-0.036221374,-0.023076833,0.059093429,0.01088304,0.028115666
686 NCA30 22.tif,0.046096021,-0.006462292,0.042196475,-0.0216892,0.053123485,0.058319559,0.011165622,-0.002060744,0.004670363,-0.025844637,-0.016463205,0.003421315,-0.001366723,0.033961778,-0.000323648,0.070851478,0.008542153,0.030233641,0.006891978,0.021331376
688 NCA30 24.tif,-0.010952002,0.083916997,0.089884849,0.012107399,-0.003928187,-0.026984598,-0.021413809,0.002940075,0.059052158,0.065622402,-0.013262706,-0.022282914,0.010198706,0.043643766,-0.020507003,-0.013733778,-0.093511829,-0.038309428,0.014805975,0.000989771
691 NCA30 27.tif,-0.032240131,0.092066517,0.025961434,0.024966489,-0.017611884,0.00326397,0.031182073,0.004665035,0.01478456,-0.005594973,-0.013530676,0.000362224,-0.003825289,0.039480547,0.015957966,0.027124745,-0.034294687,0.026570145,-0.000642867,-0.050499548
692 NCA30 28.tif,0.023644679,-0.039414429,0.031310051,-0.102556755,0.102969051,-0.018246925,-0.032601409,0.038342709,-0.015063415,0.013984676,-0.005186398,-0.01227932,0.043996013,-0.002791116,-0.008719106,-0.020206197,0.023812125,-0.020384775,-0.013720889,0.019126433
697 NCA40 3.tif,0.082206596,0.025470157,0.017737927,-0.0232562,0.014913987,0.004030733,0.001089488,-0.016433457,-0.022496107,-0.007171459,-0.007200564,-0.00189522,0.005669771,0.003813605,-0.005800574,0.0229923,0.018823911,0.013970266,0.017886442,0.012340961
699 NCA40 5.tif,0.086037923,-0.007647948,-0.005099078,-0.049197618,0.043544128,0.00913906,-0.003332777,0.012877607,-0.026601135,0.000901566,0.007835813,0.064827563,0.022421744,0.032464672,-0.033979484,0.012253678,-0.011888036,-0.051870907,-0.020817706,0.071071551
701 NCA40 7.tif,0.00035929,0.114134036,-0.037321416,-0.008131167,0.066001376,-0.057778769,0.038543473,0.000552058,0.024770139,0.0147621,0.014809269,-0.035183899,0.053885773,0.019689025,-0.043861191,0.026171967,0.061851372,0.079585267,0.005322582,-0.024660449
